#name,thirst,hunger,toilet,excitement,intensity,nausea,time,cost,price,size_x,size_y, symbol #coaster
BobsleighCoaster,		0,0,0,50,30,10,0,45,20,10,10,&
CorkscrewRollerCoaster,	0,0,0,50,30,10,0,50,20,10,10,%
JuniorRollerCoaster,	0,0,0,50,30,10,0,40,20,10,10,j
ReverserRollerCoaster,	0,0,0,48,28,7,0,37,20,10,10,«
WoodenRollerCoaster,	0,0,0,52,33,8,0,50,20,10,10,W

#gentle
CarRide,				0,0,0,70,10,10,0,25,10,10,10,æ
Circus,					0,0,0,20,10,0,0,125,10,2,2,c
CrookedHouse,			0,0,0,15,8,0,0,65,10,2,2,/
ObservationTower,		0,0,0,80,10,0,0,57,10,2,2,T
SpiralSlide,			0,0,0,50,10,0,0,165,10,2,2,§

#thrill
Cinema3D,				0,0,0,20,10,0,0,140,15,2,2,E
LaunchedFreefall,		0,0,0,50,50,10,0,70,15,2,2,F
MagicCarpet,			0,0,0,50,30,10,0,198,15,2,2,~
MotionSimulator,		0,0,0,20,10,10,0,220,15,2,2,¶
Twist,					0,0,0,40,20,10,0,90,15,2,2,¥

#water
BoatHire,				0,0,0,70,6,0,0,55,10,10,10,B
DinghySlide,			0,0,0,50,30,10,0,40,20,10,10,d
LogFlume,				0,0,0,80,30,6,0,40,20,10,10,Õ
SplashBoats,			0,0,0,80,34,6,0,30,20,10,10,v
SubmarineRide,			0,0,0,70,6,0,0,70,10,10,10,©

#TODO: make the shapes of these rides more reasonable
##transport
#Chairlift,				0,0,0,70,10,0,0,30,10,15,15,¯
#Lift,					0,0,0,80,10,0,0,39,10,15,15,L
#MiniatureRailway,		0,0,0,70,6,-10,0,35,10,15,15,r
#SuspendedMonorail,		0,0,0,70,6,-10,0,50,10,15,15,M

#shop
DrinkStall,				7,0,0,0,0,0,0,500,5,1,1,º
FirstAid,				0,0,0,0,0,-220,0,500,0,1,1,╬
FoodStall,				-3,7,2,0,0,0,0,600,5,1,1,f
InformationKiosk,		0,0,0,0,0,0,0,500,7,1,1,i
Shop,					0,0,0,0,0,0,0,400,10,1,1,s
Toilets,				0,0,-255,0,0,0,0,450,0,1,1,t



