#name,thirst,hunger,toilet,excitement,intensity,nausea,time,cost,price,size_x,size_y, symbol

#coster
BobsleighCoaster,		0,0,0,50,30,10,0,45,20,10,10,&
CorkscrewRollerCoaster,	0,0,0,50,30,10,0,50,20,10,10,%
JuniorRollerCoaster,	0,0,0,50,30,10,0,40,20,10,10,j
ReverserRollerCoaster,	0,0,0,48,28,7,0,37,20,10,10,«
WoodenRollerCoaster,	0,0,0,52,33,8,0,50,20,10,10,W

#gentle
CarRide,				0,0,0,70,10,10,0,25,15,10,10,æ
Circus,					0,0,0,20,10,0,0,125,15,2,2,c
CrookedHouse,			0,0,0,15,8,0,0,65,10,2,2,/
ObservationTower,		0,0,0,80,10,0,0,57,10,2,2,┬
SpiralSlide,			0,0,0,50,10,0,0,165,15,2,2,§

#thrill
Cinema3D,				0,0,0,20,10,0,0,140,20,2,2,3
LaunchedFreefall,		0,0,0,50,50,10,0,70,20,2,2,║
MagicCarpet,			0,0,0,50,30,10,0,198,15,2,2,~
MotionSimulator,		0,0,0,20,10,10,0,220,20,2,2,¶
Twist,					0,0,0,40,20,10,0,90,10,2,2,¥

#water
BoatHire,				0,0,0,70,6,0,0,55,10,10,10,▒
DinghySlide,			0,0,0,50,30,10,0,40,20,10,10,d
LogFlume,				0,0,0,80,30,6,0,40,20,10,10,═
SplashBoats,			0,0,0,80,34,6,0,30,20,10,10,v
SubmarineRide,			0,0,0,70,6,0,0,70,10,10,10,©

#transport
Chairlift,				0,0,0,70,10,0,0,30,10,15,15,¯
Lift,					0,0,0,80,10,0,0,39,10,15,15,L
MiniatureRailway,		0,0,0,70,6,-10,0,35,10,15,15,r
SuspendedMonorail,		0,0,0,70,6,-10,0,50,10,15,15,M

#shop
DrinkStall,				7,0,0,0,0,0,0,500,12,1,1,º
FirstAid,				0,0,0,0,0,-220,0,500,0,1,1,╬
FoodStall,				-3,7,2,0,0,0,0,600,19,1,1,f
InformationKiosk,		0,0,0,0,0,0,0,500,7,1,1,i
Shop,					0,0,0,0,0,0,0,400,27,1,1,s
Toilets,				0,0,-255,0,0,0,0,450,0,1,1,t



